0,1,2,3,4,5,6,7,8,9,10,11
1.0,0.06046511627906977,0.11162790697674418,0.15813953488372093,0.10697674418604651,0.20465116279069767,0.16279069767441862,0.2186046511627907,0.10697674418604651,0.13023255813953488,0.09302325581395349,0.15813953488372093
1.0,0.07291666666666667,0.09375,0.16666666666666666,0.17708333333333334,0.22916666666666666,0.19791666666666666,0.15625,0.125,0.11458333333333333,0.16666666666666666,
1.0,0.1016949152542373,0.1977401129943503,0.14124293785310735,0.1807909604519774,0.1864406779661017,0.12429378531073447,0.12429378531073447,0.0847457627118644,0.10734463276836158,,
1.0,0.08588957055214724,0.147239263803681,0.147239263803681,0.11042944785276074,0.09202453987730061,0.06134969325153374,0.09815950920245399,0.0736196319018405,,,
1.0,0.10714285714285714,0.08035714285714286,0.11607142857142858,0.08928571428571429,0.11607142857142858,0.125,0.07142857142857142,,,,
1.0,0.145985401459854,0.16058394160583941,0.08759124087591241,0.08029197080291971,0.10218978102189781,0.08029197080291971,,,,,
1.0,0.13829787234042554,0.0425531914893617,0.06382978723404255,0.11702127659574468,0.09574468085106383,,,,,,
1.0,0.1037037037037037,0.1111111111111111,0.07407407407407407,0.05925925925925926,,,,,,,
1.0,0.07692307692307693,0.038461538461538464,0.02564102564102564,,,,,,,,
1.0,0.06896551724137931,0.04597701149425287,,,,,,,,,
1.0,0.10294117647058823,,,,,,,,,,
1.0,,,,,,,,,,,
